ID,NIT,RAZON SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO_DOMICILIO,CIUDAD_DOMICILIO,MACROSECTOR,INGRESOS_OPERACIONALES_2018,GANANCIA_PERDIDA_2018,TOTAL_ACTIVOS_2018,TOTAL_PASIVOS_2018,TOTAL_PATRIMONIO_2018,INGRESOS_OPERACIONALES_2017,GANANCIA_PERDIDA_2017,TOTAL_ACTIVOS_2017,TOTAL_PASIVOS_2017,TOTAL_PATRIMONIO_2017,GRUPO_EN_NIIF
301,890.914.525,MINEROS S.A.,SUPERFINANCIERA,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,MINERO-HIDROCARBUROS,476672629,130641250,1009206586,188949842,820256744,429135665,114773480,918048095,207363670,710684425,NIIF PLENAS-GRUPO 1
302,900.388.600,MAC JOHNSON CONTROLS COLOMBIA S.A.S,SUPERSOCIEDADES,Costa Pacífica,VALLE,YUMBO-VALLE,MANUFACTURA,472526242,27559083,423310023,94708211,328601812,427852085,28794953,487725824,186130182,301595642,NIIF PLENAS-GRUPO 1
303,860.047.657,PRACO DIDACOL SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,468280346,7872987,472856948,197250644,275606304,415261586,12396724,406016619,122846147,283170472,NIIF PLENAS-GRUPO 1
304,800.020.706,NALSANI SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MANUFACTURA,467652123,5041130,383822915,292078444,91744471,487562534,33594270,394062670,307359329,86703341,NIIF PLENAS-GRUPO 1
305,890.102.110,OLEOFLORES S.A.S,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,MANUFACTURA,466166448,-34008220,336504466,249761096,86743370,460383511,873157,334436058,213916464,120519594,NIIF PLENAS-GRUPO 1
306,860.020.058,DISTRIBUIDORA TOYOTA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,464918208,12551829,177107116,66873539,110233577,343386278,10213964,154852515,53170767,101681748,NIIF PLENAS-GRUPO 1
307,891.080.005,CCF COMFACOR,SUPERSALUD,Costa Atlántica,CORDOBA,MONTERIA,SERVICIOS,464061621.27,-28614635.71,37576615.08,435687436.83,-398110821.75,462835709.93,-338929202.38,28970969.90,358485023.26,-329514053.36,NIIF PYMES-GRUPO 2
308,900.342.297,COMERCIALIZADORA ARTURO CALLE SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,462716609,19016818,338406320,201356193,137050127,464418000,10457938,337823789,110272836,227550953,NIIF PLENAS-GRUPO 1
309,890.929.877,COMPASS GROUP SERVICES COLOMBIA S.A,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,SERVICIOS,461921058,10329906,194133907,129603490,64530417,385763224,6013768,161409242,107401351,54007891,NIIF PLENAS-GRUPO 1
310,800.094.968,JARAMILLO MORA SA,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,CONSTRUCCIÓN,460120046,54948220,600954625,408555426,192399199,281842757,24613982,406040143,267265051,138775092,NIIF PLENAS-GRUPO 1
311,830.010.738,C.I. SUNSHINE BOUQUET S.A.S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,AGROPECUARIO,459807647,6758277,466787654,281917889,184869765,399518393,7988533,240800687,193030673,47770014,NIIF PLENAS-GRUPO 1
312,811.008.963,MULTIENLACE SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,SERVICIOS,459089390,38791941,494935869,192156128,302779741,446886388,20318442,485483300,201455178,284028122,NIIF PLENAS-GRUPO 1
313,804.016.671,CAMPOLLO S.A.,SUPERSOCIEDADES,Centro - Oriente,SANTANDER,BUCARAMANGA-SANTANDER,AGROPECUARIO,458697856,-23414562,249807465,141918973,107888492,405345053,-17198690,432101746,262825887,169275859,NIIF PYMES-GRUPO 2
314,800.093.117,ARQUITECTURA Y CONCRETO S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,CONSTRUCCIÓN,457849028,22688123,2179991232,1649617148,530374084,435749560,36671773,1459536661,952897851,506638810,NIIF PLENAS-GRUPO 1
315,890.905.360,HA BICICLETAS SA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,COMERCIO,455771418,53197907,335893755,39424236,296469519,425172886,41325903,287385429,37063816,250321613,NIIF PLENAS-GRUPO 1
316,900.752.732,ENGELHART CTP (COLOMBIA) SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,455397351,107345,91535325,80329855,11205470,469076750,104673,96965514,85867389,11098125,NIIF PLENAS-GRUPO 1
317,800.141.506,THE ELITE FLOWER S.A.S C.I,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,454892232,9800947,237960761,152489286,85471475,417455624,8328545,194771933,111851686,82920247,NIIF PLENAS-GRUPO 1
318,800.137.960,Eficacia S.A,SUPERSOCIEDADES,Costa Pacífica,VALLE,CALI-VALLE,SERVICIOS,451538556,3677228,67896512,55949410,11947102,464572538,2719123,75799727,61739325,14060402,NIIF PLENAS-GRUPO 1
319,900.341.086,Comercial Nutresa S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,COMERCIO,450080434,5263144,249035293,220783007,28252286,439020731,-4416757,247182010,223486337,23695673,NIIF PLENAS-GRUPO 1
320,900.030.538,Lenovo (Asia Pacific) Limited Sucursal Colombia,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,COMERCIO,449741208,4821643,192391432,209563991,-17172559,517624240,285242,168884102,189518973,-20634871,NIIF PLENAS-GRUPO 1
321,830.037.774,DRUMMOND COAL MINING LLC,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,MINERO-HIDROCARBUROS,449222394,75393492,664196109,101493042,562703067,330839540,47302053,531696292,72399741,459296551,NIIF PLENAS-GRUPO 1
